FID	IID	PRS_inf	PRS_grid
0	HG03460	0.0593376832578833	0.0296149200367118
0	HG03461	0.0130488835727536	0.0458145100332665
0	HG03464	0.0349355004982129	0.0618765201876055
0	HG03469	0.0308330143022585	-0.0467450633021112
0	HG03470	-0.00494311922140847	-0.0180800394641742
0	HG03472	0.0607617358674313	0.00673357719717506
0	HG03473	0.0120376150328318	-0.0108620377108738
0	HG03476	-0.0270658931216253	-0.0208318487925998
0	HG03478	0.00758699936691696	-0.0372342025178089
0	HG03479	0.0328976052048299	0.0167888282558647
0	HG03484	0.00537893092529117	-0.0621726126006469
0	HG03485	0.0731795733985928	-0.03456267362208
0	HG03499	-0.00901858349984148	-0.0450056538890372
0	HG03511	-0.0105588635959705	-0.126616776796666
0	HG03514	0.00177952833886139	-0.0724104692117308
0	HG03515	-0.00438039659556593	0.0199963732626299
0	HG03517	-0.0250784225616252	-0.080050877180987
0	HG03518	0.0460122987112586	0.00183875429198279
0	HG03520	0.0312552409552438	-0.0410152878816249
0	HG03521	0.0254018907965664	0.0223848392494945
0	HG03538	0.00324213687898581	-0.0169650398663787
0	HG03539	-0.045766195601264	0.0139821739417478
0	HG03547	-0.0120958165372985	0.029022133779869
0	HG03548	0.0735885400646346	-0.0767528929104133
0	HG03556	0.0637602597064499	0.0016656629888339
0	HG03557	0.00412589878891636	-0.0592705407835474
0	HG03558	0.0168327239244145	-0.0602412660933594
0	HG03559	-0.00785918689715451	0.0232776350290563
0	HG03563	-0.0513482540359243	0.0661096563280083
0	HG03565	0.0216858779563847	-0.0743197518124468
0	HG03567	-0.0246645867883483	0.0451439373162622
0	HG03571	0.038967756338024	0.0116625565487305
0	HG03572	0.0363512066038742	0.0468492985641931
0	HG03575	0.0142113328348206	-0.045997973410312
0	HG03577	0.0538210558980562	-0.0122357949141389
0	HG03578	-0.0203524069371597	-0.0188595762100241
0	HG03583	0.0020135725136804	-0.0103516383906304
0	NA18486	0.0542137010553679	0.0963978422138204
0	NA18488	-0.0659880210725478	-0.11710639393827
0	NA18489	-0.0281988222469887	-0.0140443424188474
0	NA18499	0.062078240157617	-0.019356556485227
0	NA18501	-0.015705031132415	-0.030142955497641
0	NA18502	-0.0239719578760526	0.0378071568952526
0	NA18504	0.0243931516657868	-0.0273844631951139
0	NA18505	0.0117751581863158	0.00378784266157291
0	NA18507	0.000144584035095514	-0.026939265204666
0	NA18508	0.0240203771587583	-0.0630485462209788
0	NA18510	-0.036379919814562	-0.134958635517276
0	NA18511	0.0234726889256328	-0.0764541124521915
0	NA18516	-0.00258151839038877	-0.0651698280512491
0	NA18517	0.0574888543164268	-0.0216908018066666
0	NA18519	0.0482614897198558	-0.109109120775499
0	NA18520	0.0126938463492372	-0.0733068555698433
0	NA18522	-0.0134304383859432	0.0117212120634082
0	NA18523	0.00501646283515938	-0.0588214273963407
0	NA18853	0.0188263044256674	-0.0120852444821226
0	NA18856	0.022933822773795	-0.000563763721371739
0	NA18858	0.0223044967750296	-0.0206108830075661
0	NA18861	0.000974236992048782	-0.0957787009670848
0	NA18864	0.0385212444521803	-0.00998310551284054
0	NA18865	0.00469239260938669	-0.09453553472344
0	NA18867	0.0539361742651926	-0.0780438814601303
0	NA18868	0.0621621409178146	0.0034778960163323
0	NA18870	0.0393357160304454	0.0464193534929152
0	NA18871	0.0450405919723329	-0.00201910661488673
0	NA18873	0.0387746685972445	-0.00475283834257264
0	NA18874	-0.0180648194918939	0.016220782951312
0	NA18876	-0.0208932543422644	-0.012797077832667
0	NA18877	-0.0115178166887059	-0.00252787415881928
0	NA18878	0.0704934248608698	-0.0104958091459138
0	NA18879	0.0460857479751305	-0.0226291111591056
0	NA18881	0.0438501844712711	-0.0952623698016155
0	NA18907	0.00411196823643944	0.00368114969001072
0	NA18908	-0.0109420783097085	0.072457366253599
0	NA18909	-0.00580051727309839	-0.0490226514516949
0	NA18910	-0.0491602427547131	-0.0642195411985318
0	NA18912	0.0283227295492556	0.0082489163821563
0	NA18915	0.0945198841163081	0.017762116930898
0	NA18916	0.00231426027479169	-0.0538042247207729
0	NA18917	0.0354681426564221	-0.064627059504079
0	NA18923	0.0136293243992864	0.0435745010388145
0	NA18924	0.00202032267986896	-0.0258180957247014
0	NA18933	0.0271391644188829	-0.0383796130469468
0	NA18934	-0.0199612685560866	-0.061500038754683
0	NA19017	0.0160394130698587	0.0117075919966218
0	NA19019	-0.054225185501604	-0.0159882034851277
0	NA19020	0.0382570999091841	0.0653114483850717
0	NA19023	-0.0170157356616479	0.00968747195175806
0	NA19024	0.0159181803736634	0.0516757955487355
0	NA19025	-0.0254277722773268	-0.0310397916045952
0	NA19026	0.0614379843446	0.04179845730647
0	NA19027	0.0105722103145056	-0.0366416987683218
0	NA19028	-0.0328255876655047	-0.0529463684510414
0	NA19030	0.00111200751419114	-0.00885625324272848
0	NA19031	0.0129142735314504	-0.0265485349015835
0	NA19035	0.0161952133133376	0.00528927663533526
0	NA19036	0.023383234223797	0.0156691010668841
0	NA19037	-0.00438018760973618	-0.0260580138389778
0	NA19038	-0.0179474543630172	-0.0419288936563027
0	NA19041	-0.0117055665412634	-0.00823783922803932
0	NA19042	-0.0317225066934119	7.24408782038645e-05
0	NA19043	0.0187747631037171	-0.0157407188036623
0	NA19092	0.0378473752131963	0.0219124689868173
0	NA19093	0.0215462279379291	-0.0206967230352743
0	NA19095	0.00349504858158714	0.0258654539984109
0	NA19096	-0.0377108340935755	-0.0641865399214292
0	NA19098	0.0522949193620813	0.0539078444152524
0	NA19099	0.07495152214992	-0.0225446435356178
0	NA19102	0.00984236094938276	-0.0648877974893649
0	NA19107	-0.00599873636494298	-0.00735118960041726
0	NA19108	0.0543198913969366	0.0555812289542367
0	NA19113	0.0159666086698573	-0.141684498503771
0	NA19114	0.0172728426818601	-0.0517171395593409
0	NA19116	0.123105275720705	-0.015785370966086
0	NA19117	-0.0274256091146771	-0.0377571558915654
0	NA19118	0.0222740204603541	-0.0707499819111528
0	NA19119	-0.0170682047449224	-0.038935346398774
0	NA19121	-0.0111670361375368	0.0749491617753671
0	NA19130	0.00950217871979299	-0.119518410884429
0	NA19131	0.0264833802744132	0.0652656500265944
0	NA19137	0.0111942098886233	-0.0976188628402415
0	NA19138	-0.0432199054867303	0.0189731281398145
0	NA19141	0.0374695221872743	0.0241018207990723
0	NA19143	0.0241200421761042	-0.0811617019808994
0	NA19144	-0.0572340045077078	-0.0788890993085698
0	NA19146	0.00850168954204635	-0.0392411953289917
0	NA19147	-0.0514487439910572	-0.0449465990783519
0	NA19149	-0.0455611327827889	-0.0382848502008329
0	NA19152	-0.00235708560276589	0.0135010832849039
0	NA19153	-0.0328219782171089	-0.0364256882097623
0	NA19159	0.0385096910355307	-0.0452706217516154
0	NA19160	-0.00632385583964958	-0.0284924491952108
0	NA19171	-0.0235629561127598	-0.049673850367033
0	NA19172	0.0856994563906071	0.0411111967895963
0	NA19175	-0.0274530728460695	0.00047867611816417
